nazwa_stopu,kategoria,alloy_key,folder_1000x,image_path,image_filename,grubosc_mm,T_aust_C,t_aust_min,T_hart_C,t_hart_min,Rm_MPa,Rp02_MPa,A_pct,impact_J,HB,HB_skala,chem_C,chem_Si,chem_Mn,chem_S,chem_P,chem_Mg,chem_Cu,chem_Ni
Cu_3mm_OC2_*,poprawne_adi,GJS Cu lub Cu,POPRAWNE_ADI\Cu_3mm_1000x,POPRAWNE_ADI\Cu_3mm_1000x\Cu_3mm_1000x-001.jpg,Cu_3mm_1000x-001.jpg,3.0,870,90,370,90,1039.0411414257837,887.9311886524216,,,317.3333333333333,HB,3.47,2.54,0.35,0.012,0.044,0.035,0.7,0.25
Cu_3mm_OC2_*,poprawne_adi,GJS Cu lub Cu,POPRAWNE_ADI\Cu_3mm_1000x,POPRAWNE_ADI\Cu_3mm_1000x\Cu_3mm_1000x-002.jpg,Cu_3mm_1000x-002.jpg,3.0,870,90,370,90,1039.0411414257837,887.9311886524216,,,317.3333333333333,HB,3.47,2.54,0.35,0.012,0.044,0.035,0.7,0.25
Cu_3mm_OC2_*,poprawne_adi,GJS Cu lub Cu,POPRAWNE_ADI\Cu_3mm_1000x,POPRAWNE_ADI\Cu_3mm_1000x\Cu_3mm_1000x-003.jpg,Cu_3mm_1000x-003.jpg,3.0,870,90,370,90,1039.0411414257837,887.9311886524216,,,317.3333333333333,HB,3.47,2.54,0.35,0.012,0.044,0.035,0.7,0.25
Cu_3mm_OC2_*,poprawne_adi,GJS Cu lub Cu,POPRAWNE_ADI\Cu_3mm_1000x,POPRAWNE_ADI\Cu_3mm_1000x\Cu_3mm_1000x-004.jpg,Cu_3mm_1000x-004.jpg,3.0,870,90,370,90,1039.0411414257837,887.9311886524216,,,317.3333333333333,HB,3.47,2.54,0.35,0.012,0.044,0.035,0.7,0.25
Cu_3mm_OC2_*,poprawne_adi,GJS Cu lub Cu,POPRAWNE_ADI\Cu_3mm_1000x,POPRAWNE_ADI\Cu_3mm_1000x\Cu_3mm_1000x-005.jpg,Cu_3mm_1000x-005.jpg,3.0,870,90,370,90,1039.0411414257837,887.9311886524216,,,317.3333333333333,HB,3.47,2.54,0.35,0.012,0.044,0.035,0.7,0.25
Cu_3mm_OC2_*,poprawne_adi,GJS Cu lub Cu,POPRAWNE_ADI\Cu_3mm_1000x,POPRAWNE_ADI\Cu_3mm_1000x\Cu_3mm_1000x-006.jpg,Cu_3mm_1000x-006.jpg,3.0,870,90,370,90,1039.0411414257837,887.9311886524216,,,317.3333333333333,HB,3.47,2.54,0.35,0.012,0.044,0.035,0.7,0.25
Cu_3mm_OC2_*,poprawne_adi,GJS Cu lub Cu,POPRAWNE_ADI\Cu_3mm_1000x,POPRAWNE_ADI\Cu_3mm_1000x\Cu_3mm_1000x-007.jpg,Cu_3mm_1000x-007.jpg,3.0,870,90,370,90,1039.0411414257837,887.9311886524216,,,317.3333333333333,HB,3.47,2.54,0.35,0.012,0.044,0.035,0.7,0.25
Cu_3mm_OC2_*,poprawne_adi,GJS Cu lub Cu,POPRAWNE_ADI\Cu_3mm_1000x,POPRAWNE_ADI\Cu_3mm_1000x\Cu_3mm_1000x-008.jpg,Cu_3mm_1000x-008.jpg,3.0,870,90,370,90,1039.0411414257837,887.9311886524216,,,317.3333333333333,HB,3.47,2.54,0.35,0.012,0.044,0.035,0.7,0.25
Cu_3mm_OC2_*,poprawne_adi,GJS Cu lub Cu,POPRAWNE_ADI\Cu_3mm_1000x,POPRAWNE_ADI\Cu_3mm_1000x\Cu_3mm_1000x-009.jpg,Cu_3mm_1000x-009.jpg,3.0,870,90,370,90,1039.0411414257837,887.9311886524216,,,317.3333333333333,HB,3.47,2.54,0.35,0.012,0.044,0.035,0.7,0.25
Cu_3mm_OC2_*,poprawne_adi,GJS Cu lub Cu,POPRAWNE_ADI\Cu_3mm_1000x,POPRAWNE_ADI\Cu_3mm_1000x\Cu_3mm_1000x-010.jpg,Cu_3mm_1000x-010.jpg,3.0,870,90,370,90,1039.0411414257837,887.9311886524216,,,317.3333333333333,HB,3.47,2.54,0.35,0.012,0.044,0.035,0.7,0.25
Cu_3mm_OC2_*,poprawne_adi,GJS Cu lub Cu,POPRAWNE_ADI\Cu_3mm_1000x,POPRAWNE_ADI\Cu_3mm_1000x\Cu_3mm_1000x-011.jpg,Cu_3mm_1000x-011.jpg,3.0,870,90,370,90,1039.0411414257837,887.9311886524216,,,317.3333333333333,HB,3.47,2.54,0.35,0.012,0.044,0.035,0.7,0.25
Cu_3mm_OC2_*,poprawne_adi,GJS Cu lub Cu,POPRAWNE_ADI\Cu_3mm_1000x,POPRAWNE_ADI\Cu_3mm_1000x\Cu_3mm_1000x-012.jpg,Cu_3mm_1000x-012.jpg,3.0,870,90,370,90,1039.0411414257837,887.9311886524216,,,317.3333333333333,HB,3.47,2.54,0.35,0.012,0.044,0.035,0.7,0.25
Cu_3mm_OC2_*,poprawne_adi,GJS Cu lub Cu,POPRAWNE_ADI\Cu_3mm_1000x,POPRAWNE_ADI\Cu_3mm_1000x\Cu_3mm_1000x-013.jpg,Cu_3mm_1000x-013.jpg,3.0,870,90,370,90,1039.0411414257837,887.9311886524216,,,317.3333333333333,HB,3.47,2.54,0.35,0.012,0.044,0.035,0.7,0.25
Cu_3mm_OC2_*,poprawne_adi,GJS Cu lub Cu,POPRAWNE_ADI\Cu_3mm_1000x,POPRAWNE_ADI\Cu_3mm_1000x\Cu_3mm_1000x-014.jpg,Cu_3mm_1000x-014.jpg,3.0,870,90,370,90,1039.0411414257837,887.9311886524216,,,317.3333333333333,HB,3.47,2.54,0.35,0.012,0.044,0.035,0.7,0.25
Cu_3mm_OC2_*,poprawne_adi,GJS Cu lub Cu,POPRAWNE_ADI\Cu_3mm_1000x,POPRAWNE_ADI\Cu_3mm_1000x\Cu_3mm_1000x-015.jpg,Cu_3mm_1000x-015.jpg,3.0,870,90,370,90,1039.0411414257837,887.9311886524216,,,317.3333333333333,HB,3.47,2.54,0.35,0.012,0.044,0.035,0.7,0.25
Cu_3mm_OC2_*,poprawne_adi,GJS Cu lub Cu,POPRAWNE_ADI\Cu_3mm_1000x,POPRAWNE_ADI\Cu_3mm_1000x\Cu_3mm_1000x-016.jpg,Cu_3mm_1000x-016.jpg,3.0,870,90,370,90,1039.0411414257837,887.9311886524216,,,317.3333333333333,HB,3.47,2.54,0.35,0.012,0.044,0.035,0.7,0.25
