target,model,R2,MAE
Rm_MPa,GBT,0.847,52.3
Rm_MPa,XGBoost,0.801,60.9
Rm_MPa,RF,0.746,63.5
Rm_MPa,Ridge,0.798,58.7
Rm_MPa,MLP,0.744,63.1
Rp02_MPa,GBT,0.811,57.2
Rp02_MPa,XGBoost,0.771,64.2
Rp02_MPa,RF,0.766,60.1
Rp02_MPa,Ridge,0.731,65.8
Rp02_MPa,MLP,0.662,69.3
A_pct,GBT,0.448,2.36
A_pct,XGBoost,0.517,2.19
A_pct,RF,0.53,2.0
A_pct,Ridge,0.545,2.16
A_pct,MLP,0.658,1.8
impact_J,GBT,-0.267,18.7
impact_J,XGBoost,-0.611,20.7
impact_J,RF,-0.512,21.9
impact_J,Ridge,-0.785,24.3
impact_J,MLP,-1.604,28.8
HB,GBT,0.891,8.94
HB,XGBoost,0.899,7.65
HB,RF,0.681,13.5
HB,Ridge,0.669,14.3
HB,MLP,0.232,19.3
