target,model,R2,MAE
Rm_MPa,GBT,0.675,74.6
Rm_MPa,XGBoost,0.627,80.2
Rm_MPa,RF,0.73,64.7
Rm_MPa,Ridge,0.768,63.5
Rm_MPa,MLP,0.782,61.5
Rp02_MPa,GBT,0.402,96.0
Rp02_MPa,XGBoost,0.637,79.2
Rp02_MPa,RF,0.702,66.0
Rp02_MPa,Ridge,0.719,69.1
Rp02_MPa,MLP,0.641,79.8
A_pct,GBT,0.102,3.07
A_pct,XGBoost,0.285,2.62
A_pct,RF,0.525,2.05
A_pct,Ridge,0.578,1.97
A_pct,MLP,0.306,2.44
impact_J,GBT,-0.21,19.3
impact_J,XGBoost,-1.073,24.6
impact_J,RF,-0.36,20.9
impact_J,Ridge,-0.794,23.9
impact_J,MLP,-0.661,20.0
HB,GBT,-0.181,23.5
HB,XGBoost,0.524,14.5
HB,RF,0.602,14.9
HB,Ridge,0.698,14.2
HB,MLP,-0.174,22.2
