target,model,R2,MAE
Rm_MPa,GBT,0.587,82.0
Rm_MPa,XGBoost,0.528,84.4
Rm_MPa,RF,0.749,63.5
Rm_MPa,Ridge,0.775,63.9
Rm_MPa,MLP,0.528,88.1
Rp02_MPa,GBT,0.603,76.2
Rp02_MPa,XGBoost,0.643,78.4
Rp02_MPa,RF,0.738,63.4
Rp02_MPa,Ridge,0.716,70.3
Rp02_MPa,MLP,0.605,83.7
A_pct,GBT,0.475,2.22
A_pct,XGBoost,0.261,2.57
A_pct,RF,0.534,2.0
A_pct,Ridge,0.54,2.04
A_pct,MLP,0.65,1.7
impact_J,GBT,-0.636,22.6
impact_J,XGBoost,-0.883,23.5
impact_J,RF,-0.225,19.4
impact_J,Ridge,-0.736,23.9
impact_J,MLP,-1.063,25.7
HB,GBT,0.911,8.78
HB,XGBoost,0.727,12.3
HB,RF,0.595,15.0
HB,Ridge,0.702,14.2
HB,MLP,0.316,19.3
